game_id,side,speed,num_moves,result,panic_score,time_per_move,capture_rate,sacrifice_rate,check_rate,early_aggression,castle_move,piece_activity,avg_material_diff,gambit_tendency,sharp_opening,decisive_game,opening_name,opening_eco,status,cluster_kmeans,cluster_gmm,cluster_dbscan,cluster_hierarchical,gmm_prob_cluster_0,gmm_prob_cluster_1
CGxkqUqp,white,bullet,49,1,2.1197916666666665,121.54166666666669,0.2,0.08,0.04,1,8.0,7,-0.36,0,1,1,"Sicilian Defense: Accelerated Dragon, Modern Bc4 Variation",B35,resign,1,1,-1,0,0.0,1.0
xaFdRV7l,black,bullet,64,1,1.7365384615384614,70.6774193548387,0.25,0.0625,0.0,1,10.0,6,0.5625,0,0,1,Queen's Pawn Game: London System,D02,resign,1,0,-1,0,1.0,6.308219316310735e-28
RaZzgXoN,white,bullet,94,-1,1.7393617021276595,107.7391304347826,0.2127659574468085,0.1063829787234042,0.0,1,4.0,6,-0.5319148936170213,0,0,1,"English Opening: Symmetrical Variation, Mecking Variation",A39,mate,1,0,-1,0,1.0,8.14057699219607e-25
M6eLBiFH,white,bullet,119,1,0.5483490566037735,97.38983050847456,0.2,0.0666666666666666,0.15,0,15.0,5,1.65,0,0,1,Lasker Simul Special,A00,mate,1,0,-1,0,1.0,4.515208894006051e-19
6lXVH00K,black,bullet,112,1,0.8529411764705882,101.52727272727272,0.2142857142857142,0.0892857142857142,0.1071428571428571,3,12.0,6,0.8928571428571429,1,0,1,Queen's Gambit Declined: Charousek Variation,D31,outoftime,0,1,-1,1,0.0,1.0
OfNq3gH6,white,bullet,75,1,2.2645631067961163,120.70270270270272,0.1842105263157894,0.1052631578947368,0.0263157894736842,1,4.0,5,-0.6052631578947368,0,0,1,King's Indian Attack: Wahls Defense,A05,resign,1,0,-1,0,1.0,2.695603465979223e-25
p8t7n1h4,black,bullet,77,-1,1.9005681818181817,100.47368421052632,0.2105263157894736,0.1578947368421052,0.0,1,14.0,5,-1.0789473684210529,0,0,1,Modern Defense: Pseudo-Austrian Attack,B06,resign,1,0,-1,0,1.0,1.0120290327695197e-38
zhHaWEYx,white,bullet,90,-1,1.995412844036697,118.84444444444443,0.2444444444444444,0.1111111111111111,0.0,2,9.0,5,-0.0444444444444444,0,1,1,Vienna Game: Paulsen Variation,C25,resign,1,1,-1,0,0.0,1.0
iURTZvqA,white,bullet,39,1,3.148809523809524,63.63157894736842,0.2,0.05,0.05,1,4.0,5,-0.35,0,0,1,Hungarian Opening: Indian Defense,A00,resign,1,0,-1,0,1.0,4.84032901413748e-34
w0kyVgi1,black,bullet,169,-1,0.2620967741935484,71.46428571428571,0.1666666666666666,0.0833333333333333,0.1309523809523809,0,5.0,4,1.5357142857142858,0,0,1,London System,A48,outoftime,1,0,-1,0,1.0,1.8580220927092847e-20
